frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,1787931162.407867200,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,90
2,1787931162.412175400,,,2a03:2880:f335:120:face:b00c:0:167,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,52793,,,78
3,1787931162.412176400,,,2a03:2880:f335:120:face:b00c:0:167,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,52793,,,78
4,1787931162.450944200,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,78
5,1787931162.452166900,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,1448
6,1787931162.452878100,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,1448
7,1787931162.452880200,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,1434
8,1787931162.452948400,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2603:1061:14:151::1,,6,60541,443,,,74
9,1787931162.455518300,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,1448
10,1787931162.455553700,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2603:1061:14:151::1,,6,60541,443,,,74
11,1787931162.456464900,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,1448
12,1787931162.457528000,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,1448
13,1787931162.457550000,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2603:1061:14:151::1,,6,60541,443,,,74
14,1787931162.461156100,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,1136
15,1787931162.461159900,,,2603:1061:14:151::1,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,6,443,60541,,,438
